X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
29019,28883,21210,26598,27431,23548,20589,27890,27587,28015,27811,27521,22987,19961,27161,28358,27510,27652,27629,23238,19984,26744,27231,27770,27592,27725,23078,20001,27610,27796
29294,28666,22028,26382,27302,24271,21692,27772,26972,27603,27387,27070,23724,20789,26981,28189,27476,27357,27488,23920,21014,26533,26847,27558,27304,27487,23649,20502,27590,27596
29320,28069,22137,26023,26884,24170,21952,27459,26109,26854,26728,26703,23428,20851,26776,27817,27269,27317,27148,23838,21276,26184,26686,27128,26765,27158,23568,20615,27520,27347
28976,27587,22430,25662,26483,23496,21912,27092,25007,26706,26562,26328,22898,20704,26565,27657,27106,27345,27224,23616,21488,26202,26733,26941,26567,26939,23488,20598,27638,27284
28968,27609,22686,25689,26441,23347,21951,27181,26147,26904,26852,26099,22681,20903,26736,27495,27039,27531,27118,23503,21867,26723,27107,27179,26801,26840,23382,20856,27601,27490
28871,27360,22700,25518,26037,22945,21730,26869,25949,26432,26497,25587,22371,20897,26551,26901,26569,27087,26808,23280,21900,26432,26839,27108,26531,26235,22977,21184,27070,27263
28100,26977,21133,25337,25391,21791,20644,26351,25342,25845,25934,24978,21270,19900,26061,25773,25909,26393,25780,22153,20453,25638,26041,26396,25725,25587,22079,19959,26312,26632
27627,26467,20093,25134,25036,21130,20459,25718,24741,25531,25722,24874,20643,19322,26023,25343,25301,26142,25242,21632,19688,25099,25608,25861,25565,25103,21359,19286,25981,26463
27772,26456,20110,24989,25052,21268,20996,25795,25062,25764,25856,25301,21458,19948,26700,25756,25302,26244,25198,21647,20614,25358,25942,26005,25908,25501,21713,19794,26386,27107
27706,26533,20780,25216,25693,22187,22036,25925,25913,26226,26312,25989,22438,21170,27132,26411,25777,26459,25668,22317,21441,25700,26448,26309,26581,26029,22455,21153,27041,27721
28008,27125,22123,26138,26460,23360,23034,26635,26886,27048,27240,26649,23500,22278,27979,27371,26707,27114,26346,23057,22433,26628,27127,27356,27445,26585,23445,22526,27934,28683
29138,28294,23780,27932,27551,24590,24295,28221,28286,28449,28422,27459,24335,23572,28993,28581,28006,28394,27066,23883,23573,27654,28016,28566,28635,27504,24266,23711,28839,29615
30469,29519,25996,30133,29219,26244,26203,29823,30143,29840,29685,28281,25625,25319,30038,29652,29100,29634,28015,25216,25105,29106,29219,28964,29537,28276,25304,25274,29648,30327
28817,28113,25960,28960,28341,26127,26128,28597,28927,28543,28536,27511,25406,25633,28791,28483,28187,28613,27475,25396,25640,28270,28386,27955,28674,27935,25498,26061,28715,29435
25846,25535,23908,26054,26097,24216,24064,25825,26185,25977,26066,25309,23650,23767,26060,25805,25709,26139,25375,23626,23691,25672,25729,25316,26244,25841,23893,24174,26043,26983
23639,23523,21916,24026,24382,22517,22312,23680,24143,24469,24370,23877,22063,22056,24410,24357,23937,24388,23868,21987,22112,23666,23927,23653,24232,24078,22258,22425,24437,25038
22263,22155,20530,22656,22853,21108,20923,22451,23020,23287,23156,22657,20710,20819,23221,23039,22609,23149,22617,20632,20839,22450,22653,22782,22982,22803,20753,21290,23504,23746
21262,20882,19707,21585,21488,19993,20027,21458,22084,22073,22092,21448,19660,19970,22168,22055,21743,22104,21495,19582,19949,21482,21696,21794,22066,21756,19794,20338,22525,22824
20683,20123,19255,20974,20778,19454,19727,21019,21451,21624,21617,20711,19105,19544,21764,21573,21423,21717,20783,18899,19547,21059,21275,21422,21599,21010,19143,20009,22083,22427
20584,19701,19201,20809,20480,18941,19558,20891,21255,21469,21443,20350,18738,19474,21495,21290,21254,21525,20442,18590,19495,20875,21203,21283,21467,20610,18693,19893,21722,22196
21098,19409,19655,21149,20450,18845,19916,21230,21710,21741,21667,20124,18650,19978,21782,21548,21515,21759,20286,18552,19947,21241,21578,21753,21842,20387,18543,20376,22032,22499
23142,19339,21746,22917,20950,19143,22128,23120,23750,23717,23366,20309,18756,22192,23546,23163,23382,23218,20534,18752,21867,22944,23297,23509,23274,20577,18657,22467,23852,24060
26315,19550,24549,25619,21454,19026,25389,26048,26508,26380,25834,20839,18749,24923,26010,25386,25919,25701,20952,18640,24511,25521,25893,25861,25712,21000,18526,25309,25832,26261
28447,19884,26339,27280,22346,19508,27452,27571,27914,27845,27263,21779,19039,26810,27816,26918,27595,27267,21998,19071,26268,27176,27600,27415,27386,21977,18947,27136,27469,28023
28883,21210,26598,27431,23548,20589,27890,27587,28015,27811,27521,22987,19961,27161,28358,27510,27652,27629,23238,19984,26744,27231,27770,27592,27725,23078,20001,27610,27796,28207
28666,22028,26382,27302,24271,21692,27772,26972,27603,27387,27070,23724,20789,26981,28189,27476,27357,27488,23920,21014,26533,26847,27558,27304,27487,23649,20502,27590,27596,27942
28069,22137,26023,26884,24170,21952,27459,26109,26854,26728,26703,23428,20851,26776,27817,27269,27317,27148,23838,21276,26184,26686,27128,26765,27158,23568,20615,27520,27347,27804
27587,22430,25662,26483,23496,21912,27092,25007,26706,26562,26328,22898,20704,26565,27657,27106,27345,27224,23616,21488,26202,26733,26941,26567,26939,23488,20598,27638,27284,28042
27609,22686,25689,26441,23347,21951,27181,26147,26904,26852,26099,22681,20903,26736,27495,27039,27531,27118,23503,21867,26723,27107,27179,26801,26840,23382,20856,27601,27490,28510
27360,22700,25518,26037,22945,21730,26869,25949,26432,26497,25587,22371,20897,26551,26901,26569,27087,26808,23280,21900,26432,26839,27108,26531,26235,22977,21184,27070,27263,28349
26977,21133,25337,25391,21791,20644,26351,25342,25845,25934,24978,21270,19900,26061,25773,25909,26393,25780,22153,20453,25638,26041,26396,25725,25587,22079,19959,26312,26632,27641
26467,20093,25134,25036,21130,20459,25718,24741,25531,25722,24874,20643,19322,26023,25343,25301,26142,25242,21632,19688,25099,25608,25861,25565,25103,21359,19286,25981,26463,27648
26456,20110,24989,25052,21268,20996,25795,25062,25764,25856,25301,21458,19948,26700,25756,25302,26244,25198,21647,20614,25358,25942,26005,25908,25501,21713,19794,26386,27107,28220
26533,20780,25216,25693,22187,22036,25925,25913,26226,26312,25989,22438,21170,27132,26411,25777,26459,25668,22317,21441,25700,26448,26309,26581,26029,22455,21153,27041,27721,28704
27125,22123,26138,26460,23360,23034,26635,26886,27048,27240,26649,23500,22278,27979,27371,26707,27114,26346,23057,22433,26628,27127,27356,27445,26585,23445,22526,27934,28683,29351
28294,23780,27932,27551,24590,24295,28221,28286,28449,28422,27459,24335,23572,28993,28581,28006,28394,27066,23883,23573,27654,28016,28566,28635,27504,24266,23711,28839,29615,30209
29519,25996,30133,29219,26244,26203,29823,30143,29840,29685,28281,25625,25319,30038,29652,29100,29634,28015,25216,25105,29106,29219,28964,29537,28276,25304,25274,29648,30327,30808
28113,25960,28960,28341,26127,26128,28597,28927,28543,28536,27511,25406,25633,28791,28483,28187,28613,27475,25396,25640,28270,28386,27955,28674,27935,25498,26061,28715,29435,29938
25535,23908,26054,26097,24216,24064,25825,26185,25977,26066,25309,23650,23767,26060,25805,25709,26139,25375,23626,23691,25672,25729,25316,26244,25841,23893,24174,26043,26983,27247
23523,21916,24026,24382,22517,22312,23680,24143,24469,24370,23877,22063,22056,24410,24357,23937,24388,23868,21987,22112,23666,23927,23653,24232,24078,22258,22425,24437,25038,25210
22155,20530,22656,22853,21108,20923,22451,23020,23287,23156,22657,20710,20819,23221,23039,22609,23149,22617,20632,20839,22450,22653,22782,22982,22803,20753,21290,23504,23746,24047
20882,19707,21585,21488,19993,20027,21458,22084,22073,22092,21448,19660,19970,22168,22055,21743,22104,21495,19582,19949,21482,21696,21794,22066,21756,19794,20338,22525,22824,23053
20123,19255,20974,20778,19454,19727,21019,21451,21624,21617,20711,19105,19544,21764,21573,21423,21717,20783,18899,19547,21059,21275,21422,21599,21010,19143,20009,22083,22427,22530
19701,19201,20809,20480,18941,19558,20891,21255,21469,21443,20350,18738,19474,21495,21290,21254,21525,20442,18590,19495,20875,21203,21283,21467,20610,18693,19893,21722,22196,22260
19409,19655,21149,20450,18845,19916,21230,21710,21741,21667,20124,18650,19978,21782,21548,21515,21759,20286,18552,19947,21241,21578,21753,21842,20387,18543,20376,22032,22499,22503
19339,21746,22917,20950,19143,22128,23120,23750,23717,23366,20309,18756,22192,23546,23163,23382,23218,20534,18752,21867,22944,23297,23509,23274,20577,18657,22467,23852,24060,24015
19550,24549,25619,21454,19026,25389,26048,26508,26380,25834,20839,18749,24923,26010,25386,25919,25701,20952,18640,24511,25521,25893,25861,25712,21000,18526,25309,25832,26261,26100
19884,26339,27280,22346,19508,27452,27571,27914,27845,27263,21779,19039,26810,27816,26918,27595,27267,21998,19071,26268,27176,27600,27415,27386,21977,18947,27136,27469,28023,27703
21210,26598,27431,23548,20589,27890,27587,28015,27811,27521,22987,19961,27161,28358,27510,27652,27629,23238,19984,26744,27231,27770,27592,27725,23078,20001,27610,27796,28207,27929
22028,26382,27302,24271,21692,27772,26972,27603,27387,27070,23724,20789,26981,28189,27476,27357,27488,23920,21014,26533,26847,27558,27304,27487,23649,20502,27590,27596,27942,27866
22137,26023,26884,24170,21952,27459,26109,26854,26728,26703,23428,20851,26776,27817,27269,27317,27148,23838,21276,26184,26686,27128,26765,27158,23568,20615,27520,27347,27804,28046
22430,25662,26483,23496,21912,27092,25007,26706,26562,26328,22898,20704,26565,27657,27106,27345,27224,23616,21488,26202,26733,26941,26567,26939,23488,20598,27638,27284,28042,28078
22686,25689,26441,23347,21951,27181,26147,26904,26852,26099,22681,20903,26736,27495,27039,27531,27118,23503,21867,26723,27107,27179,26801,26840,23382,20856,27601,27490,28510,28359
22700,25518,26037,22945,21730,26869,25949,26432,26497,25587,22371,20897,26551,26901,26569,27087,26808,23280,21900,26432,26839,27108,26531,26235,22977,21184,27070,27263,28349,28288
21133,25337,25391,21791,20644,26351,25342,25845,25934,24978,21270,19900,26061,25773,25909,26393,25780,22153,20453,25638,26041,26396,25725,25587,22079,19959,26312,26632,27641,27576
20093,25134,25036,21130,20459,25718,24741,25531,25722,24874,20643,19322,26023,25343,25301,26142,25242,21632,19688,25099,25608,25861,25565,25103,21359,19286,25981,26463,27648,27143
20110,24989,25052,21268,20996,25795,25062,25764,25856,25301,21458,19948,26700,25756,25302,26244,25198,21647,20614,25358,25942,26005,25908,25501,21713,19794,26386,27107,28220,27751
20780,25216,25693,22187,22036,25925,25913,26226,26312,25989,22438,21170,27132,26411,25777,26459,25668,22317,21441,25700,26448,26309,26581,26029,22455,21153,27041,27721,28704,28652
22123,26138,26460,23360,23034,26635,26886,27048,27240,26649,23500,22278,27979,27371,26707,27114,26346,23057,22433,26628,27127,27356,27445,26585,23445,22526,27934,28683,29351,29294
23780,27932,27551,24590,24295,28221,28286,28449,28422,27459,24335,23572,28993,28581,28006,28394,27066,23883,23573,27654,28016,28566,28635,27504,24266,23711,28839,29615,30209,30052
25996,30133,29219,26244,26203,29823,30143,29840,29685,28281,25625,25319,30038,29652,29100,29634,28015,25216,25105,29106,29219,28964,29537,28276,25304,25274,29648,30327,30808,30641
25960,28960,28341,26127,26128,28597,28927,28543,28536,27511,25406,25633,28791,28483,28187,28613,27475,25396,25640,28270,28386,27955,28674,27935,25498,26061,28715,29435,29938,30078
23908,26054,26097,24216,24064,25825,26185,25977,26066,25309,23650,23767,26060,25805,25709,26139,25375,23626,23691,25672,25729,25316,26244,25841,23893,24174,26043,26983,27247,27642
21916,24026,24382,22517,22312,23680,24143,24469,24370,23877,22063,22056,24410,24357,23937,24388,23868,21987,22112,23666,23927,23653,24232,24078,22258,22425,24437,25038,25210,25768
20530,22656,22853,21108,20923,22451,23020,23287,23156,22657,20710,20819,23221,23039,22609,23149,22617,20632,20839,22450,22653,22782,22982,22803,20753,21290,23504,23746,24047,24384
19707,21585,21488,19993,20027,21458,22084,22073,22092,21448,19660,19970,22168,22055,21743,22104,21495,19582,19949,21482,21696,21794,22066,21756,19794,20338,22525,22824,23053,23478
19255,20974,20778,19454,19727,21019,21451,21624,21617,20711,19105,19544,21764,21573,21423,21717,20783,18899,19547,21059,21275,21422,21599,21010,19143,20009,22083,22427,22530,22782
19201,20809,20480,18941,19558,20891,21255,21469,21443,20350,18738,19474,21495,21290,21254,21525,20442,18590,19495,20875,21203,21283,21467,20610,18693,19893,21722,22196,22260,22438
19655,21149,20450,18845,19916,21230,21710,21741,21667,20124,18650,19978,21782,21548,21515,21759,20286,18552,19947,21241,21578,21753,21842,20387,18543,20376,22032,22499,22503,22775
21746,22917,20950,19143,22128,23120,23750,23717,23366,20309,18756,22192,23546,23163,23382,23218,20534,18752,21867,22944,23297,23509,23274,20577,18657,22467,23852,24060,24015,24305
24549,25619,21454,19026,25389,26048,26508,26380,25834,20839,18749,24923,26010,25386,25919,25701,20952,18640,24511,25521,25893,25861,25712,21000,18526,25309,25832,26261,26100,26488
26339,27280,22346,19508,27452,27571,27914,27845,27263,21779,19039,26810,27816,26918,27595,27267,21998,19071,26268,27176,27600,27415,27386,21977,18947,27136,27469,28023,27703,27887
26598,27431,23548,20589,27890,27587,28015,27811,27521,22987,19961,27161,28358,27510,27652,27629,23238,19984,26744,27231,27770,27592,27725,23078,20001,27610,27796,28207,27929,28263
26382,27302,24271,21692,27772,26972,27603,27387,27070,23724,20789,26981,28189,27476,27357,27488,23920,21014,26533,26847,27558,27304,27487,23649,20502,27590,27596,27942,27866,28028
26023,26884,24170,21952,27459,26109,26854,26728,26703,23428,20851,26776,27817,27269,27317,27148,23838,21276,26184,26686,27128,26765,27158,23568,20615,27520,27347,27804,28046,27725
25662,26483,23496,21912,27092,25007,26706,26562,26328,22898,20704,26565,27657,27106,27345,27224,23616,21488,26202,26733,26941,26567,26939,23488,20598,27638,27284,28042,28078,27916
25689,26441,23347,21951,27181,26147,26904,26852,26099,22681,20903,26736,27495,27039,27531,27118,23503,21867,26723,27107,27179,26801,26840,23382,20856,27601,27490,28510,28359,28140
25518,26037,22945,21730,26869,25949,26432,26497,25587,22371,20897,26551,26901,26569,27087,26808,23280,21900,26432,26839,27108,26531,26235,22977,21184,27070,27263,28349,28288,27734
25337,25391,21791,20644,26351,25342,25845,25934,24978,21270,19900,26061,25773,25909,26393,25780,22153,20453,25638,26041,26396,25725,25587,22079,19959,26312,26632,27641,27576,27063
25134,25036,21130,20459,25718,24741,25531,25722,24874,20643,19322,26023,25343,25301,26142,25242,21632,19688,25099,25608,25861,25565,25103,21359,19286,25981,26463,27648,27143,26777
24989,25052,21268,20996,25795,25062,25764,25856,25301,21458,19948,26700,25756,25302,26244,25198,21647,20614,25358,25942,26005,25908,25501,21713,19794,26386,27107,28220,27751,27143
25216,25693,22187,22036,25925,25913,26226,26312,25989,22438,21170,27132,26411,25777,26459,25668,22317,21441,25700,26448,26309,26581,26029,22455,21153,27041,27721,28704,28652,27771
